"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"A1","1","RaspberryPi_Pico","","","","Module:RaspberryPi_Pico_Common_Unspecified","https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf"
"C1,C2,C3,C8","4","100n","","","","","~"
"C4,C6","2","10n","","","","","~"
"C5,C7","2","1.5n","","","","","~"
"C9","1","10u","","","","","~"
"C10","1","100u","","","","","~"
"J1,J2","2","AudioJack4","","","","","~"
"R1,R2,R3,R4,R5,R7,R8,R10,R11,R12,R13,RV1,RV2,RV3,RV4","15","10k","","","","","~"
"R6","1","18k","","","","","~"
"R9","1","47k","","","","","~"
"R14,R15","2","100","","","","","~"
"U1,U2","2","NJM4580","","","","","http://www.njr.com/semicon/PDF/NJM4580_E.pdf"
"U3","1","MCP4921","","","","","http://ww1.microchip.com/downloads/en/DeviceDoc/22248a.pdf"
